,District,Const,WParty,WVotes,Age,TurnOut%
0,Taplejung,Taplejung-1,Nepal Communist Party (UML),21943,56,49.85912554965421
1,Taplejung,Taplejung-1,Nepal Communist Party (Maoist Center) (Unified Symbol),21735,46,53.74467771711617
2,Taplejung,Taplejung-1,Federal Democratic National Front,941,56,54.89515921670284
3,Taplejung,Taplejung-1,"Janata Samajwadi Party, Nepal",628,49,51.0524824629903
4,Taplejung,Taplejung-1,Rastriya Prajatantra Party,406,65,54.32800392779554
5,Taplejung,Taplejung-1,Rastriya Janamukti Party,266,45,54.54729317763541
6,Taplejung,Taplejung-1,Independent,192,66,58.12793948090969
7,Taplejung,Taplejung-1,Mongol National Organization,134,28,49.85912554965421
8,Taplejung,Taplejung-1,"Democratic Socialist Party, Nepal",61,54,53.74467771711617
9,Taplejung,Taplejung-1,Janasamajwadi Party Nepal,56,56,54.89515921670284
10,Taplejung,Taplejung-1,Independent,29,69,51.0524824629903
11,Taplejung,Taplejung-1,Nepal Communist Party (UML),32135,60,54.32800392779554
12,Taplejung,Taplejung-1,Nepali Congress,32089,57,54.54729317763541
13,Taplejung,Taplejung-1,Rastriya Prajatantra Party,1578,60,58.12793948090969
14,Taplejung,Taplejung-1,"Janata Samajwadi Party, Nepal",1274,49,49.85912554965421
15,Panchthar,Panchthar-1,Federal Democratic National Front,1011,74,53.74467771711617
16,Panchthar,Panchthar-1,Nepal Communist Party (Marxist-Leninist),816,61,54.89515921670284
17,Panchthar,Panchthar-1,Rastriya Swatantra Party,526,45,51.0524824629903
18,Panchthar,Panchthar-1,Mongol National Organization,522,44,54.32800392779554
19,Panchthar,Panchthar-1,Rastriya Janamukti Party,302,65,54.54729317763541
20,Panchthar,Panchthar-1,Rastriya Prajatantra Party Nepal,253,49,58.12793948090969
21,Panchthar,Panchthar-1,Independent,108,40,49.85912554965421
22,Panchthar,Panchthar-1,Independent,86,39,53.74467771711617
23,Panchthar,Panchthar-1,Janasamajwadi Party Nepal,39,32,54.89515921670284
24,Panchthar,Panchthar-1,Independent,35,32,51.0524824629903
25,Panchthar,Panchthar-1,Independent,17,41,54.32800392779554
26,Panchthar,Panchthar-1,Nepal Communist Party (UML),25753,62,54.54729317763541
27,Panchthar,Panchthar-1,Nepal Communist Party (Unified Socialist),23089,72,58.12793948090969
28,Panchthar,Panchthar-1,Mongol National Organization,2442,52,49.85912554965421
29,Panchthar,Panchthar-1,Rastriya Prajatantra Party,1599,67,53.74467771711617
30,Panchthar,Panchthar-1,"Janata Samajwadi Party, Nepal",1313,63,54.89515921670284
31,Ilam,Ilam-1,Independent,1184,68,51.0524824629903
32,Ilam,Ilam-1,Independent,640,57,54.32800392779554
33,Ilam,Ilam-1,Nepali Congress (BP),347,60,54.54729317763541
34,Ilam,Ilam-1,Rastriya Janamukti Party,265,49,58.12793948090969
35,Ilam,Ilam-1,Independent,235,51,49.85912554965421
36,Ilam,Ilam-1,Federal Democratic National Front,151,50,53.74467771711617
37,Ilam,Ilam-2,Nepal Communist Party (UML),30020,69,54.89515921670284
38,Ilam,Ilam-2,Nepali Congress,29906,47,51.0524824629903
39,Ilam,Ilam-2,Rastriya Swatantra Party,1380,30,54.32800392779554
40,Ilam,Ilam-2,Mongol National Organization,1363,51,54.54729317763541
41,Ilam,Ilam-2,Rastriya Janamukti Party,1272,59,58.12793948090969
42,Ilam,Ilam-2,"Janata Samajwadi Party, Nepal",724,52,49.85912554965421
43,Ilam,Ilam-2,Federal Democratic National Front,684,44,53.74467771711617
44,Ilam,Ilam-2,Rastriya Prajatantra Party,510,61,54.89515921670284
45,Ilam,Ilam-2,Independent,91,35,51.0524824629903
46,Ilam,Ilam-2,"Democratic Socialist Party, Nepal",69,43,54.32800392779554
47,Ilam,Ilam-2,Nepali Congress (BP),54,55,54.54729317763541
48,Ilam,Ilam-2,Nepal Communist Party,48,56,58.12793948090969
